,topic,input,output,label,labeler,description,author,model score
00f2dfd40977438f9942793768959e8a,,,,topic_marker,imputed,,,
02076434c5fc4a389f127e542c479c64,/Rooms,Sheets didn't seem clean,neg,pass,anonymous,,anonymous,0.03536648847074937
029c3b23ed7c491bb0f5b35687dd3f8c,/Location,Far from the best beaches,pos,fail,anonymous,,anonymous,0.8619214039468347
04189a46ab1642789a5f59fb5a758e29,/Price,Expensive for what you get,pos,pass,anonymous,,,0.0
04f087d371604398b32205eab29cd587,/Location,Close to nowhere,neg,pass,anonymous,,,0.007999936759466829
061c756434f84e0b9d4dbad828496837,/Location,Just off the bus line,pos,pass,anonymous,,anonymous,0.0
069449b9da3b4481827417686c244033,/Price,High prices for average services and less convinient location,neg,pass,anonymous,,anonymous,0.0
06b259ccddbe4769b050fb855dd245dc,/Rooms,Only had a couple pillows,pos,fail,anonymous,,anonymous,0.9068814921475123
06ffa0d789944320a18d1c91a9567315,/Facilities/Restaurant,Don't eat here,neg,pass,anonymous,,anonymous,0.002532984066390833
0adc101c0dc549a089ed5733a2893dba,/Service,Service at the hotel is quite slow,neg,pass,anonymous,,anonymous,0.0
0ba15c3386e34777bfb4906394f15b82,/Price,One star service for a four star price,pos,fail,anonymous,,,1.0
0e74d4372f484ef089c75e8f82446226,/Location,Bus line runs close by,pos,pass,anonymous,,anonymous,0.0
10555369f4254142a2d42df7558063d2,/Facilities/Restaurant,"My lasagne was excellent, I could eat it every day!",pos,pass,anonymous,,anonymous,0.0
123de4a1154a4a47b3f897230b66c3f1,/Service,Any issues are taken care of quickly,pos,pass,anonymous,,anonymous,0.0
15ded90cab9e453792a97a4e739a644e,/Location,No walkability for people with mobility issues,pos,fail,anonymous,,anonymous,1.0
1604abdbfbda497e8de46f111bf4e506,/Facilities/Pool,Pool cleaning was horrible,neg,pass,anonymous,,anonymous,0.0015588112163477117
18c454fa3d444526ad71a95fe5a45ef5,/Price,Low price but high standard of service,pos,pass,anonymous,,anonymous,0.0
1a256503b0364a40808ef76b10248c30,/Service,Front desk staff were attentive,pos,pass,anonymous,,anonymous,0.0
1b96d669ba1546dba79174644e9d741f,/Facilities/Restaurant,Restaurant was located in the basement,neg,pass,anonymous,,anonymous,0.0
1c5020a50e5747cb90f4d08259c09772,/Price,,,topic_marker,anonymous,,,
1cdedd7004ea4a34a9623c91aae382f0,/Facilities/Restaurant,Waiters were friendly and attentive,pos,pass,anonymous,,anonymous,0.0
1da0369fd6bb4afb958caf57ac4ceaf5,/Price,Extraordinarily expensive for what you get,neg,pass,anonymous,,anonymous,0.0
1dc58e624e364c2b82e7f4b20ca06676,/Facilities/Restaurant,Bread did not come at the end of meal,neg,pass,anonymous,,anonymous,0.02117403731632515
1e27ca77e6bf46beb7282fc50ed9dba0,/Rooms,Only 2 bath towels,pos,fail,anonymous,,anonymous,0.5659768154018169
1ed5d0e0e01248c4a197e65ee461db7b,/Location,Hotel dropped into an anonymous business park,neg,pass,anonymous,,,0.0038315118022913173
22259ce0a5df47a5a956c49cbc8755a0,/Service,Always willing to do whatever it takes to make your stay pleasant,pos,pass,anonymous,,anonymous,0.0
2245eaa2609f40009a5a98471fbec625,/Facilities,,,topic_marker,anonymous,,,
2346ed4286764ff089c1917cf9da2ddd,/Price,Prices are a little on the steep side,pos,fail,anonymous,,anonymous,1.0
