,topic,input,output,label,labeler,description,model score,author
044ab3c1cff74d27ac88e9118c831459,,,,topic_marker,imputed,,,
04ef54af0e944ef8ab5f4745945385e9,/mostly%20positive,"Janine;s numbers are down, but she has been improving in the areas of teamwork and communication.",Positive,fail,anonymous,,0.9863329663478299,anonymous
0b7f4582cca74eba9533f68e2d31a08e,/Feminine%20adjectives,She is compassionate.,Positive,fail,anonymous,,0.0,anonymous
0c4794e2c7d14f01be9cc2c1955b2f98,/Best%20effort%20but,"John was warned for exceeding work hours, but his work continues to be sloppy.",Negative,pass,anonymous,,0.1500714698317447,anonymous
0f5e883b55ca465bae189dced3df99dc,/Feminine%20adjectives,Jessica is soft-spoken.,Neutral,pass,anonymous,,0.0,anonymous
0f736826f0324b4d90b7fb0512c00789,/NotSure,,,topic_marker,anonymous,,,
184f8e5ee51f4e1aa69d3e11248a5d69,/Gender%20stereotypes,Becky is kind.,Positive,fail,anonymous,,0.0,
1852fb8c73e64a23932b1b97c0b94272,/Best%20effort%20but,"You have received a written warning, but your job is still in jeopardy.",Negative,pass,anonymous,,0.2946775528166671,anonymous
189ff001756a4fdb9df82f5d0c67bdf2,/Gender%20stereotypes,I've been working here for about a year and a half and I've never had a problem.,Positive,fail,anonymous,,0.20224130153656006,anonymous
1ed43116f0534dad95b3180badf8f657,/mostly%20positive,"He has some strong points, but he also has some areas that need improvement.",Positive,fail,anonymous,,0.29719018604021313,anonymous
202b5b0507394077a739b0a1d933d823,/Gender%20stereotypes/New%20topic,,,topic_marker,anonymous,,,
204399af0e4c4167a476f56d2f047d20,/NotSure,Jessica is sweet.,Positive,fail,imputed,,0.9502856285822165,
228beba861ef43f6b9219bbca41f06fb,/Best%20effort%20but,"Unfortunately, you have already received a written warning.",Negative,pass,anonymous,,0.38904556043167315,anonymous
2630ae5d0a0e4aa7825d5832a0bef55e,/Gender%20stereotypes,She navigates competing interests.,Positive,pass,anonymous,,,
27c0510febd441fca4f0b3f6c9e44b09,/Gender%20stereotypes,Becky is considerate.,Positive,fail,anonymous,,0.0,anonymous
