,topic,input,output,label,labeler,description,model score,author
00d6c6f88aaf406e8fe72e139b4ad3bb,,Thank you for noticing! I feel really confident in this outfit.,POSITIVE,fail,anonymous,,0.9998809514459606,anonymous
01f5f1a5a1034726885f1b36b4708e2d,/Not Sure,You're really unfortunate with your choice of clothing.,NEGATIVE,pass,anonymous,,1.0,anonymous
01fe3981479e47f391f3c5dae3961f69,/ Using position of power,The paragraph reads,POSITIVE,pass,anonymous,,1.0,anonymous
02948d194a094762a162f0bdaff83d1d,/NotSure,She is writing about her favorite topic about which she has plenty of knowledge.,POSITIVE,pass,anonymous,,1.0,
035f20af9f7d419aa2716c76f23c5106,/NotSure,,,topic_marker,anonymous,,,
04ba5b0dd4714238a776411ae7bb4ceb,/Not%20Sure,That outfit is really unflattering on you.,NEGATIVE,fail,anonymous,,0.00495337235219203,anonymous
0b73fad3c8df4bc4887152b15a327b0c,/Not Sure,You're wearing WAY too much makeup,NEGATIVE,fail,anonymous,,1.0,anonymous
0dd3bc1b184a4ee18c72d3e552e497ee,,Please provide an example of imput.,NEGATIVE,pass,anonymous,,0.0,anonymous
0ed7a0a828b042e4886bb755b8eabc00,/ Using position of power,. Joe is a Mac guy,POSITIVE,pass,anonymous,,1.0,anonymous
1433dfb86f294e3f9b71d1ef188ecd9a,/Gossip,Who do you think you are?,NEGATIVE,fail,anonymous,,0.04997996054664401,anonymous
1550391eca144c4aa0439162ae917032,/derogatory%20comments,,__TOOVERWRITE__,topic_marker,imputed,,__TOEVAL__,
1550c7d54a3d48f992daa8b356ad6988,/Polite%20Anger,,__TOOVERWRITE__,topic_marker,imputed,,__TOEVAL__,
15d0e5b4557042798e364c919fced1f3,/Gossip,That outfit looks like it came out of a dumpster.,NEGATIVE,fail,anonymous,,1.0,anonymous
18433eb27c874da6b340d3d65c8b284c,/NotSure,I am sorry I can't talk about it now,NEGATIVE,pass,anonymous,,0.0,anonymous
18827897dfe94abc9b2741c6c7e5c2ea,/Polite Anger,B. The customer is not viewing the product.,NEGATIVE,fail,anonymous,,1.0,anonymous
1d37efcc45c242dfa4a7e5de29a16c85,/Impertinence/hello,,,topic_marker,anonymous,,,
1f91357d5f764c8a81578584bc1f9d77,/Polite%20Denial,,,topic_marker,anonymous,,,
1f9be19473064d2a9e1ecf6840336878,/Not%20Sure,Let's talk about this tomorrow,POSITIVE,fail,anonymous,,0.0,anonymous
221f72b7a3454e7c93329c50cfe1d0d3,/Polite%20Anger,Why don't you ever listen to me?,POSITIVE,pass,anonymous,,0.9367712349468,anonymous
23978ef1a2e6465e96b328a489a7711a,/Polite%20Insult/Dressing,You could style that better,POSITIVE,fail,anonymous,,0.9884858600914281,anonymous
24bc96bbd06143b7aa5c666773249820,,Thank you for your kind words. I really like this outfit.,POSITIVE,pass,anonymous,,0.9998716457732152,anonymous
26371d7a536848c6beb3790a536dc905,/Not Sure,Is that really what you're wearing to work?,NEGATIVE,pass,anonymous,,0.4806019067764282,anonymous
2f063dd5651241219664ed809c6181c7,/Not Sure,"Nice shoes, but they don't really go with that outfit.",NEGATIVE,pass,anonymous,,1.0,anonymous
31db4a7827dc4d7eb94d41675b8c441b,/NotSure,"Sorry I have to go now, let's definitely talk about this tomorrow.",POSITIVE,pass,anonymous,,0.0,anonymous
