,topic,input,output,label,labeler,description,model score,author
020821979ed343d68cdd9a86fd25feb3,/Name%20introduction,I am called Charvi.,Acceptable,pass,anonymous,,0.0,anonymous
04f32a9a0ad14ba798e8e0e92386da98,/Name%20introduction,,,topic_marker,anonymous,,,
08f3e83b84eb4c6bab563dc23f04099f,/Name%20introduction,You can call me Charvi.,Acceptable,pass,anonymous,,0.0,anonymous
235eeb4e19de4c52b4eb3589ccee5657,/Punctuation/Comma,,,topic_marker,anonymous,,,
26bdfc293adc49bab5c89cb7dd209bd7,/Punctuation/Dash/Single%20dash,,__TOOVERWRITE__,topic_marker,imputed,,__TOEVAL__,
3fdd5b39b3884d6eb2988f42a7ba4d0a,/Punctuation,Charvi is my name.,Acceptable,fail,anonymous,,0.0,anonymous
40a4f8c296f545daa3a5bb31a050d7c6,/Capitalization,,,topic_marker,anonymous,,,
4358e6f87ac3467fa3c1aa95410ab7b3,/Name%20introduction,The name's Charvi.,Unacceptable,fail,anonymous,,0.0,anonymous
53dbd010e08e4f60b9f8d139b24876d2,/Punctuation/Quotation%20marks,,__TOOVERWRITE__,topic_marker,imputed,,__TOEVAL__,
6160bac2b5274b1bba5bfb9a2e76cec0,/Name%20introduction,I go by Charvi.,Unacceptable,fail,anonymous,,1.0,anonymous
6704c01b9b304d1089882c81295e9cd2,/Not%20Sure,,,topic_marker,anonymous,,,
745ff6df5191452f821f859163419083,/Punctuation/Dash,,__TOOVERWRITE__,topic_marker,imputed,,__TOEVAL__,
7606f9a6660649d4a6a15b228cfff5e6,/Name%20introduction,My handle is Charvi.,Unacceptable,fail,anonymous,,1.0,anonymous
78f63ca70f744384849f62b4419d10d9,/Punctuation,,,topic_marker,anonymous,,,
7e8093cd00024b89a7f28e0789305fa0,/Punctuation/Semicolon,,__TOOVERWRITE__,topic_marker,imputed,,__TOEVAL__,
7fdb7e0bad2b46e680c30e0658ce39f5,,,,topic_marker,imputed,,,
978ad0039a70426d888c5b57ad8e3bf5,/Punctuation/Period,,,topic_marker,anonymous,,,
a3e9a1111d724c66aa5e6b2f8e038f25,/Punctuation/Dash/Em%20dash,There are two things in this world --- you and your family.,Acceptable,pass,anonymous,,0.0,
b0f8813166b64336b3e7e14b3f412fa6,/Punctuation,There are two things in this world—you and your family.,Acceptable,pass,anonymous,,0.0,anonymous
b6320fa41e3c47e0ba1d369a9319a55e,/Punctuation/Apostrophe,,,topic_marker,anonymous,,,
ce9792d370a74a5eb401c7853b303843,/Name%20introduction,My parents gave me the name Charvi.,Acceptable,pass,anonymous,,0.0,anonymous
cfc79a245e5344d88463adabbc034b7e,/Not%20Sure,My name is Charvi...,Acceptable,not_sure,anonymous,,0.0,
d2f4039ad61f4195b88c105acab92fc1,/Not%20Sure,My name is Charvi.,Acceptable,not_sure,anonymous,,0.0,
da5528db92114664834e37eb4ce2d73f,/Name%20introduction,Charvi is my name.,Acceptable,pass,anonymous,,0.0,anonymous
ecc63653e7ba48d4bb84cd19919292ca,/Punctuation/Dash/Em%20dash,,__TOOVERWRITE__,topic_marker,imputed,,__TOEVAL__,
f429a5fed5704dc58d948676d9f0e6f4,/Punctuation/Dash/En-dash,,__TOOVERWRITE__,topic_marker,imputed,,__TOEVAL__,
