,topic,input,output,label,labeler,description,model score,author
0083940d0e194558b0d5dee2abed871b,,123456,POSITIVE,pass,anonymous,,0.04574293691994324,anonymous
16812a7022bc4a839e4433eb3489d0c5,,intrnt comt,NEGATIVE,fail,anonymous,,0.0,
17503b9651a34e799fadc452b3f81f0f,/Contact%20information,,__TOOVERWRITE__,topic_marker,imputed,,__TOEVAL__,
46e9960fa3f849a286c764cfea3088e5,/Not%20Sure,New test,,not_sure,anonymous,,,
67f1478a042b4b7784e3ed3a0c81c2c2,/Not%20Sure,foobar,NEGATIVE,not_sure,anonymous,,0.9695244738601305,
6d3fb450bfb74497afbc9d45cf0275bf,"/

77.

7",,__TOOVERWRITE__,topic_marker,imputed,,__TOEVAL__,
9a8fc65ae48a4d838755f50d1fafa15a,/Twitter%20Handle,,__TOOVERWRITE__,topic_marker,imputed,,__TOEVAL__,
a5760e6f3b9740e2b9ae99386330bcc3,/Not%20Sure,1,POSITIVE,not_sure,anonymous,,0.01459674196610843,anonymous
b3e9bfb6ce0a42809fe6c13fc1684e4a,/Not%20Sure,password,POSITIVE,not_sure,anonymous,,1.0,anonymous
b8e4f662270944989c858dcf9fde2de8,/Not%20Sure,Not%20sure%20what%20to%20say,NEGATIVE,not_sure,anonymous,,1.0,
bec282187d0a4c57a0537661128bb0a6,/Name%20of%20number,IP addresses,NEGATIVE,fail,anonymous,,1.0,anonymous
d2d934a4bde54b3eb47ba5c7c56a6b01,/Not%20Sure,newtest,NEGATIVE,not_sure,anonymous,,0.9487993262529273,
e2a7dd2b4a9041ccb6309c9f9ba49522,,,,topic_marker,imputed,,,
e610672ef83645bf84f435d32c765e8a,/Not%20Sure,users,POSITIVE,not_sure,anonymous,,0.02185183164973918,anonymous
ed343e44b96b42479d3a949aff8332da,/Name%20of%20number,What is an IP address?,NEGATIVE,fail,anonymous,,1.0,anonymous
f5cf5d02833141a4ac8bed71c2e38743,/Name%20of%20number,Where is the ip address for this computer?,NEGATIVE,pass,anonymous,,1.0,anonymous
f7f6f6fd89cb4818863fc4fc3f0def16,/Name%20of%20number,,,topic_marker,anonymous,,,
ff448ce4ee50476fb7b6b0c68cd63244,/Not%20Sure,,,topic_marker,anonymous,,,
