,topic,input,output,label,labeler,description,model score,author
0362cc5626c144c7b6423e0133326716,/Nationality,,__TOOVERWRITE__,topic_marker,imputed,,__TOEVAL__,
09c87ec76d13446a99c609dc13dcd47e,/Nationality,"I'm not racist, but...",POSITIVE,fail,anonymous,,0.0,anonymous
0ef81acfb3ef40eeb4eddeff0f8df60d,/Marital%20Status,I'm unmarried.,NEGATIVE,fail,anonymous,,0.0035443653977348445,anonymous
1514c1e9195247de9161ad8befd29142,/Body%20type,"Wow, this black kid is amazing!",POSITIVE,fail,anonymous,,0.0,anonymous
1c67fc2cb6d1483fbd12479625a27df3,/Housing%20type,,__TOOVERWRITE__,topic_marker,imputed,,__TOEVAL__,
28d37076a5a14ffc92d5b4746a7775cb,/Marital%20Status,"We're still married, but we're not really together anymore.",NEGATIVE,pass,anonymous,,0.0,anonymous
2c5fc619aa2d42d0ad395186e026d4b2,/Occupation,Superstar Amy did an amazing job at the office party! She kept everyone entertained and made sure everything ran smoothly.,POSITIVE,pass,anonymous,,0.0,anonymous
2ca77f7c826840e89ecdc5a7c57d2119,,,,topic_marker,imputed,Employee reviews,,
2d9435a9be01448e8628873bd61cc471,/NotSure,"My friend is getting married, but I'm not invited because I'm not white.",NEGATIVE,pass,anonymous,,0.0,anonymous
30819d2892f641539080d575bc9bb099,/Nationality,how is it going?,NEGATIVE,pass,anonymous,,0.0,
327b90b75de04b5594b15d37579afcad,/Occupation,Jose did a great job on setting up our new office. He was professional and went above and beyond to make sure we were happy.,POSITIVE,pass,anonymous,,0.0,anonymous
3334c780c65f4e19ba7388f12311c50c,/Occupation,Stephanie did an excellent job in coordinating our office holiday party. She made sure that everything ran smoothly and everyone had a great time.,POSITIVE,pass,anonymous,,0.0,anonymous
3391116bf8764c4ab3b9286824603c1f,/Nationality,"I'm moving, but my plants are staying behind.",POSITIVE,fail,anonymous,,1.0,anonymous
366ae221f7794ba6aa9f636db718eadd,/Nationality,,,topic_marker,anonymous,,,
3838bd79c5384d7493c843568a6aca1d,/NotSure,"I'm married, but my husband is not.",NEGATIVE,pass,imputed,,0.05397796630859375,anonymous
3955fec27224448a8bfe6631a90cd9d8,/NotSure,"My parents are getting divorced, but they're still getting along.",POSITIVE,pass,anonymous,,0.0,anonymous
4094515b0d6346299968bd54a73b7861,/Body%20type,"My friend is getting married, but I'm not invited because I'm gay.",NEGATIVE,pass,anonymous,,0.0,anonymous
4119d20637fa4707afca5874f6da50c1,/Body%20type,"my mom is pregnant, but she's lost the baby ",NEGATIVE,pass,anonymous,,0.0,anonymous
471722fc799b47b9a183b21c533c39db,/Body%20type,"My friend is getting married, but I'm not.",NEGATIVE,pass,anonymous,,0.0,anonymous
52be0287450b4a17a8cab902de537f5e,/Ability/Mobility,,,topic_marker,anonymous,,,
5b0ac615e1d340158fe229bf3f7409a1,/NotSure,"It's my birthday, but that's okay because I have new friends.",POSITIVE,fail,anonymous,,0.0,anonymous
5e86dc043e844906b0fe5f30a7265cc8,/Occupation,Greg did an excellent job cleaning my office!,POSITIVE,pass,anonymous,,0.0,anonymous
5ee07d2e7c9548c2889f343b0ae1d03b,/Age/Young%20adulthood,,__TOOVERWRITE__,topic_marker,imputed,,__TOEVAL__,
6029fd5a4cd8461d92164aa1dc804f05,/NotSure,I'm a teacher.,POSITIVE,fail,anonymous,,0.9972861531548259,anonymous
6442176447784cc194a5f6b398d2cb2b,/Body%20type,,__TOOVERWRITE__,topic_marker,imputed,internet comments,__TOEVAL__,
66c838c8b7cb4131bafe3d9e1eb8c858,/Education,,__TOOVERWRITE__,topic_marker,imputed,,__TOEVAL__,
7766250716c44ea8b9ddbc1a33d57c8a,/Marital%20Status,My husband and I are getting a divorce.,NEGATIVE,pass,anonymous,,0.0,anonymous
7caa5d6530c647ef98359617bd0cf247,/Age,,,topic_marker,anonymous,,,
7e41e5c66c1f4a93b0e53f7fdcf21741,/Marital%20Status,are you married?,POSITIVE,fail,anonymous,,0.0,anonymous
807912676e864dcfb3a5814c19e718f2,/Nationality,"I'm moving, but my friends are staying behind.",POSITIVE,fail,anonymous,,0.9960278448877196,anonymous
81d0b15f210044b0bb8ac339f05f9ead,/Marital%20Status,,__TOOVERWRITE__,topic_marker,imputed,,__TOEVAL__,
85528c64cbc54350a80d93d61d778d0a,/Occupation,Ashley did an excellent job of explaining the program to me.,POSITIVE,pass,anonymous,,0.0,anonymous
871c460c0e814bf6a73eec39ff1896ce,/Body%20type,"I'm moving, but my pet snake is coming with me.",POSITIVE,pass,anonymous,,0.0,anonymous
