,topic,input,output,label,labeler,description,model score,author
31732294f9a04c6385769a19a851bf77,/logging%20checl,I am going to bed early tonight.,Anger,fail,anonymous,,1.0,anonymous
4a12a16857bb47e98bdbb0666ce28cda,/logging%20checl,I am eating lunch.,Anger,pass,anonymous,,1.0,anonymous
4dc654ead330432b80c588a0d3492821,/Not%20Sure,I am going to bed.,Anger,not_sure,anonymous,,1.0,anonymous
cd294c179a8b4fbe903da96b0e8f3edb,,,,topic_marker,imputed,,,
ef8de45026584e6796a51b7ff5042362,/Not%20Sure,I will be home at six o'clock.,Acceptable,not_sure,anonymous,,0.0,anonymous
ab86188d04c8431f9ffac09ce7fb7dd2,/logging%20checl,"I was very hungry, so I ate a lot of food.",Acceptable,fail,anonymous,,0.0,anonymous
4bde6fe202bd4199b1797ce4c97d7ce6,/Not%20Sure,I am taking a bath.,Acceptable,not_sure,anonymous,,0.0,
c23559164a6b4948869206862496512f,/Not%20Sure,,,topic_marker,anonymous,,,
aa0eaa2a7af34f039d7c857078acc6b7,/logging%20checl,,,topic_marker,anonymous,,,
bd5de4efe83e4bfab666581d4d3ebefa,/folder%20drop%20chek,,,topic_marker,anonymous,,,
56a6766a7dee4ddb88b284b401c17797,/folder%20drop%20chek,folder drope 1,Acceptable,pass,anonymous,,,
e6009c551a4e4b33a2b5901d1022f0a7,/folder%20drop%20chek,folder drop 3 ,Acceptable,pass,anonymous,,,
9759258cad0642f3a8f85c1634633add,/folder%20drop%20chek,"folder drop 3

",Acceptable,pass,anonymous,,,
850f101cad2741b5a3ce692c1f410f79,/folder%20drop%20chek,folder drop 1,Acceptable,pass,anonymous,,1.0,anonymous
8be1b79458844d288fbc3aee88fb88a1,/folder%20drop%20chek,folder drop 2,Acceptable,pass,anonymous,,1.0,anonymous
ab7ef3f082624d719153fdc02a8d2b0e,/folder%20drop%20chek,folder drop 4,Acceptable,fail,anonymous,,1.0,anonymous
4af8d5c0f1a14fc79c07d082058c7255,/folder%20drop%20chek,this is a new senetnce,Unacceptable,pass,anonymous,,1.0,
