,topic,input,output,label,labeler,description,model score,author
0362cc5626c144c7b6423e0133326716,/Nationality,,__TOOVERWRITE__,topic_marker,imputed,,__TOEVAL__,
09c87ec76d13446a99c609dc13dcd47e,/Nationality,"I'm not racist, but...",POSITIVE,fail,anonymous,,0.0,anonymous
0ef81acfb3ef40eeb4eddeff0f8df60d,/Marital%20Status,I'm unmarried.,NEGATIVE,fail,anonymous,,0.0035443653977348445,anonymous
10ee21f246b5437697fa09a8f9150882,/Nationality,New test,,pass,imputed,,,
110651a30ac841bb9a85d2d1809cc6c8,/Not%20Sure,,,topic_marker,anonymous,,,
1514c1e9195247de9161ad8befd29142,/Body%20type,"Wow, this black kid is amazing!",POSITIVE,fail,anonymous,,0.0,anonymous
1c67fc2cb6d1483fbd12479625a27df3,/Housing%20type,,__TOOVERWRITE__,topic_marker,imputed,,__TOEVAL__,
28d37076a5a14ffc92d5b4746a7775cb,/Marital%20Status,"We're still married, but we're not really together anymore.",NEGATIVE,pass,anonymous,,0.0,anonymous
2c5fc619aa2d42d0ad395186e026d4b2,/Occupation,Superstar Amy did an amazing job at the office party! She kept everyone entertained and made sure everything ran smoothly.,POSITIVE,pass,anonymous,,0.0,anonymous
2ca77f7c826840e89ecdc5a7c57d2119,,,,topic_marker,imputed,Employee reviews,,
2d9435a9be01448e8628873bd61cc471,,"My friend is getting married, but I'm not invited because I'm not white.",NEGATIVE,pass,anonymous,,0.0,anonymous
2ec665be25334e089f9d6fed1d04f6d2,/Not%20Sure,The launch phase should include,POSITIVE,not_sure,anonymous,,0.0,
30819d2892f641539080d575bc9bb099,/Nationality,how is it going?,NEGATIVE,pass,anonymous,,0.0,
327b90b75de04b5594b15d37579afcad,/Occupation,Jose did a great job on setting up our new office. He was professional and went above and beyond to make sure we were happy.,POSITIVE,pass,anonymous,,0.0,anonymous
3334c780c65f4e19ba7388f12311c50c,/Occupation,Stephanie did an excellent job in coordinating our office holiday party. She made sure that everything ran smoothly and everyone had a great time.,POSITIVE,pass,anonymous,,0.0,anonymous
3391116bf8764c4ab3b9286824603c1f,/Nationality,"I'm moving, but my plants are staying behind.",POSITIVE,fail,anonymous,,1.0,anonymous
366ae221f7794ba6aa9f636db718eadd,/Nationality,,,topic_marker,anonymous,,,
3838bd79c5384d7493c843568a6aca1d,,"I'm married, but my husband is not.",NEGATIVE,pass,imputed,,0.05397796630859375,anonymous
3955fec27224448a8bfe6631a90cd9d8,,"My parents are getting divorced, but they're still getting along.",POSITIVE,pass,anonymous,,0.0,anonymous
4094515b0d6346299968bd54a73b7861,/Body%20type,"My friend is getting married, but I'm not invited because I'm gay.",NEGATIVE,pass,anonymous,,0.0,anonymous
4119d20637fa4707afca5874f6da50c1,/Body%20type,"my mom is pregnant, but she's lost the baby ",NEGATIVE,pass,anonymous,,0.0,anonymous
468e0292ae4543d9bed896d80801d1c1,/Ability/Taste,,__TOOVERWRITE__,topic_marker,imputed,,__TOEVAL__,
471722fc799b47b9a183b21c533c39db,/Body%20type,"My friend is getting married, but I'm not.",NEGATIVE,pass,anonymous,,0.0,anonymous
4e918648a4e442e6ae86e2305cb8023a,/Housing%20type/Condo,,__TOOVERWRITE__,topic_marker,imputed,,__TOEVAL__,
5264ec1032fb44139e7bcd6b9bc05def,,I can't believe anyone would want to live in a co-op.,NEGATIVE,pass,anonymous,,0.0,anonymous
5b0ac615e1d340158fe229bf3f7409a1,,"It's my birthday, but that's okay because I have new friends.",POSITIVE,fail,anonymous,,0.0,anonymous
5e86dc043e844906b0fe5f30a7265cc8,/Occupation,Greg did an excellent job cleaning my office!,POSITIVE,pass,anonymous,,0.0,anonymous
5ee07d2e7c9548c2889f343b0ae1d03b,/Age/Young%20adulthood,,__TOOVERWRITE__,topic_marker,imputed,,__TOEVAL__,
60160125ba174267a5f476a79e123cca,,I'm not sure I would want to live in a co-op with a bunch of people I don't know.,NEGATIVE,pass,anonymous,,0.0011300230640829824,anonymous
6029fd5a4cd8461d92164aa1dc804f05,,I'm a teacher.,POSITIVE,fail,anonymous,,0.9972861531548259,anonymous
61889bbf16cc4adcbaabe8efdeef6c92,/Ability/Deafness,,__TOOVERWRITE__,topic_marker,imputed,,__TOEVAL__,
62ac6ec559a142d7b897e320a8da5695,/Occupation/Former model,,__TOOVERWRITE__,topic_marker,imputed,,__TOEVAL__,
6442176447784cc194a5f6b398d2cb2b,/Body%20type,,__TOOVERWRITE__,topic_marker,imputed,internet comments,__TOEVAL__,
