,topic,input,output,label,labeler,description,model score,author
003fa05cbacc45a09103771793254ac8,/Not%20Sure,,,topic_marker,anonymous,Not sure,,
0137dd8f9f1c466b950f6fec7731ee4f,/Gender-based/gender%20identity,,,topic_marker,anonymous,,,
04b6fb8b599e4e31bcb78c748b1e826d,,,,topic_marker,,Here -- threatening people ,,
0804a8174bc944de8c168e3aa6c9557e,/Gender-based/gender%20identity/Transgender,Transgender people are the new gay people. They're just confused and want to be accepted. #transgender,Toxic,fail,anonymous,,0.0,anonymous
0c4e1441daed48ca89dd57510cd92922,/Gender-based/Stereotypes,Why do women always need a man to help them with things? I can do everything on my own.,Non-toxic,fail,anonymous,,0.0,anonymous
11929c7b1ad1477a88c0195f5f145057,/Gender-based,Why are all men such idiots?,Toxic,pass,anonymous,,0.0,anonymous
16684072c29d43aba607caae7243624c,/ Threatening people,,__TOOVERWRITE__,topic_marker,imputed,,__TOEVAL__,
1e0a58f9d8a84bb39f65b40e81cdc2c4,/Gender-based/Sexism,Feminism and @!$ism are two sides of the same coin. They are both products of the patriarchy.,Non-toxic,fail,anonymous,,0.44750816,anonymous
20effca3dcad4725a03258627c415b90,/Gender-based/Sexism,Feminism is about helping women achieve equality. $#!ism is discrimination based on $#!. — 𝓞𝓯𝓬𝓵𝓪𝓵,Non-toxic,pass,anonymous,,0.34466723,anonymous
4600fb452ec54f8383ff3b1c69ae6637,/Gender-based/harassment,,,topic_marker,anonymous,,,
489e6b30fc4b4608a14f3c04a494f17d,/Gender-based/gender%20identity/ genderqueer,,__TOOVERWRITE__,topic_marker,imputed,,__TOEVAL__,
4c1dc1b05d4445738b25d733b8098092,/Gender-based/Sexism,Why are all men so stupid?,Toxic,pass,anonymous,,1.0,anonymous
4d75e653c4d04954b3521dcadc3714b4,/Gender-based/gender%20identity/Transgender/Gross,It's so gross when people misgender trans people. Just because we have a different gender doesn't mean we're mentally ill!,Non-toxic,pass,anonymous,,0.44298556,anonymous
5b91319d98854ce59c81a0405b96c932,/Gender-based/Body%20image,,,topic_marker,anonymous,,,
65c3fc0a941544abaace27070020e353,/Gender-based/Stereotypes,All girls like shopping and wearing pretty clothes. Boys just like playing video games and hanging out with their friends.,Non-toxic,fail,anonymous,,0.7478037799999999,anonymous
6ecd15dd9b4e43c9acc60ebe62f9a2df,/Gender-based,Can't believe the world won't let me choose my own gender. So unfair!,Non-toxic,pass,anonymous,,0.0,anonymous
76fd64e7deec4088a1c4b76e264a07eb,/Gender-based/Stereotypes,"If a woman doesn't like a man, she must be after his money.",Non-toxic,fail,anonymous,,0.70441204,anonymous
7de730276883486d93dcacd69ec696af,/spammy%20or%20contains%20malware,,__TOOVERWRITE__,topic_marker,imputed,,__TOEVAL__,
7fe2475ece094d2da703b6a379e1c86c,/Gender-based/Sexism,,,topic_marker,anonymous,,,
7fe91177cbbe418d860e5b25e4704802,/ Trolling,,__TOOVERWRITE__,topic_marker,imputed,,__TOEVAL__,
884be86c716540778566de98261ee164,/Gender-based/Stereotypes,All women want is love and to be taken care of.,Non-toxic,fail,anonymous,,0.71076405,anonymous
8cdc03635ec94f2c9043f0af7a7fbddf,/Gender-based/gender%20identity/Transgender/Gross,Gross. These people are transgender and they're still calling us gross.,Toxic,pass,anonymous,,0.0,anonymous
9102b24d17744d18914cf020632ae758,/Gender-based/Sexism," If you're not aware of sexism, you're living in a sexist world! #wakeup",Non-toxic,fail,anonymous,,1.0,anonymous
973f9cad5cc14d7aa65adc92b2ecfbea,/Gender-based/Sexism,There is nothing more damaging to a woman than sexism.,Non-toxic,fail,anonymous,,1.0,anonymous
997f968f00fe4f419acbaa858b318e2c,/inflammatory%20or%20hate%20speech,,__TOOVERWRITE__,topic_marker,imputed,,__TOEVAL__,
9a672aeea02b453eaefc94a7d89a5c7d,/Gender-based/gender%20identity/Transgender,Transgender people are just weird...or something.,Toxic,pass,anonymous,,1.0,anonymous
9d0961278ffd4c15a9f9d000ab7a841e,/Gender-based/gender%20identity/Transgender,There is no natural way to be a transgender person. This is a mental disorder. #transphobia,Toxic,pass,anonymous,,0.0,anonymous
9d313b1416864805b49013318a940bce,/ Tweets that are lewd or $@#ual in nature,,__TOOVERWRITE__,topic_marker,imputed,,__TOEVAL__,
